result_id,result_month,winner_id,loser_id,winner_set_1,winner_set_2,winner_set_3,winner_set_4,winner_set_5,loser_set_1,loser_set_2,loser_set_3,loser_set_4,loser_set_5
181,Sep-19,95506,34201,7,6,0,0,0,6,2,0,0,0
182,Oct-19,87295,67591,6,6,0,0,0,2,0,0,0,0
184,Jun-19,173321,54638,6,7,0,0,0,4,5,0,0,0
185,Sep-19,3766,87175,6,6,0,0,0,0,3,0,0,0
186,Jul-19,3871,4151,7,7,0,0,0,6,6,0,0,0
187,Aug-19,1194009,93116,6,6,0,0,0,3,3,0,0,0
191,Sep-19,3894,2616432,3,6,6,0,0,6,1,2,0,0
192,Nov-19,802298,368898,6,6,0,0,0,3,4,0,0,0
193,Sep-19,1398935,93116,6,6,0,0,0,2,1,0,0,0
194,Sep-19,10789,58232,6,1,6,0,0,1,6,3,0,0
195,Jan-19,207438,217512,7,6,7,0,0,6,7,6,0,0
196,Oct-19,76531,2590128,6,6,0,0,0,3,4,0,0,0
201,Sep-19,50772,64428,6,7,0,0,0,4,6,0,0,0
202,Mar-19,196974,28097,7,7,0,0,0,6,6,0,0,0
203,Aug-19,259658,10751,6,6,0,0,0,3,0,0,0,0
204,Aug-19,83953,52797,6,6,0,0,0,1,2,0,0,0
205,Aug-19,59434,2230756,0,7,7,0,0,6,6,6,0,0
206,Aug-19,3654,1398935,6,6,6,0,0,7,0,2,0,0
207,Sep-19,3994,2596786,3,6,7,0,0,6,3,6,0,0
208,Sep-19,10819,1609088,7,6,0,0,0,6,1,0,0,0
209,Sep-19,45432,50037,6,2,7,0,0,3,6,5,0,0
210,Oct-19,77968,3766,6,7,0,0,0,4,6,0,0,0
211,Oct-19,2611704,253923,6,3,6,0,0,3,6,3,0,0
213,Jan-19,84281,11042,6,6,0,0,0,2,1,0,0,0
216,Nov-19,1948598,74092,6,7,0,0,0,2,6,0,0,0
217,Aug-19,11599,1735954,6,6,0,0,0,0,0,0,0,0
220,Aug-19,65230,4348,7,6,0,0,0,6,3,0,0,0
221,Nov-19,3982,51256,6,6,0,0,0,3,2,0,0,0
222,Oct-19,84505,86388,6,6,0,0,0,4,4,0,0,0
223,Jun-19,42919,71656,6,6,6,0,0,4,7,3,0,0
225,Sep-19,1736726,2035498,6,6,0,0,0,3,3,0,0,0
226,Oct-19,2085751,64428,6,6,0,0,0,2,3,0,0,0
228,Sep-19,206783,51487,6,3,6,0,0,4,6,2,0,0
231,Aug-19,3468,3962,6,6,0,0,0,4,4,0,0,0
233,Jul-19,3766,830070,7,6,0,0,0,6,3,0,0,0
235,Oct-19,1554636,55210,7,6,0,0,0,5,0,0,0,0
240,Sep-19,83713,2544742,7,6,0,0,0,6,2,0,0,0
241,Jan-19,3464,3499,3,7,6,0,0,6,6,4,0,0
242,Sep-19,95375,3765,6,6,0,0,0,4,3,0,0,0
243,Oct-19,3828,3839,4,7,6,0,0,6,6,0,0,0
244,Mar-19,260593,198546,6,6,0,0,0,3,2,0,0,0
246,Oct-19,176778,91084,6,6,0,0,0,2,2,0,0,0
247,Mar-19,3569,3686,7,6,0,0,0,6,4,0,0,0
248,Jan-19,11040,51094,7,2,7,0,0,6,6,5,0,0
249,Feb-19,3724,3723,6,6,0,0,0,4,2,0,0,0
250,Mar-19,11348,11466,6,1,7,0,0,4,6,5,0,0
251,Feb-19,7479,206792,7,6,0,0,0,5,1,0,0,0
252,Aug-19,3994,3960,7,6,0,0,0,5,3,0,0,0
253,Jun-19,303997,45571,6,6,0,0,0,3,4,0,0,0
254,Oct-19,67623,60157,6,6,0,0,0,3,3,0,0,0
255,Sep-19,10378,11342,7,7,0,0,0,6,6,0,0,0
256,Oct-19,4508,1625971,7,6,0,0,0,5,2,0,0,0
257,Aug-19,81226,240231,6,7,5,7,0,4,6,7,5,0
258,Oct-19,197507,74171,7,6,0,0,0,6,4,0,0,0
259,Jan-19,11035,114452,6,6,0,0,0,0,2,0,0,0
260,May-19,3907,55210,7,6,0,0,0,6,2,0,0,0
262,Oct-19,260593,206806,6,6,0,0,0,3,4,0,0,0
263,Aug-19,223621,10765,7,3,6,0,0,6,6,3,0,0
264,Nov-19,203816,3466,7,7,0,0,0,6,6,0,0,0
265,Oct-19,70784,56114,6,6,0,0,0,4,4,0,0,0
266,Jan-19,53255,3855,6,6,0,0,0,3,3,0,0,0
267,Oct-19,206329,4508,6,6,0,0,0,4,3,0,0,0
268,Jul-19,218755,2517000,6,7,0,0,0,2,6,0,0,0
269,Apr-19,10344,10853,7,6,0,0,0,6,2,0,0,0
270,Sep-19,224134,7479,6,7,0,0,0,2,6,0,0,0
271,Jan-19,161912,10351,6,6,0,0,0,0,3,0,0,0
273,Aug-19,2608472,1292073,6,6,0,0,0,4,4,0,0,0
274,Aug-19,42681,87175,7,6,0,0,0,5,3,0,0,0
279,Mar-19,10346,24836,6,6,0,0,0,3,4,0,0,0
280,Oct-19,67623,196974,7,6,7,0,0,6,7,6,0,0
281,Feb-19,219786,10769,4,6,6,0,0,6,4,2,0,0
282,Jul-19,2568933,50992,7,7,0,0,0,6,6,0,0,0
283,Jan-19,10319,58692,6,6,0,0,0,3,2,0,0,0
284,Mar-19,10338,10839,6,6,7,0,0,4,7,5,0,0
